"filename", "language", "Markdown", "Python", "pip requirements", "JSON with Comments", "YAML", "JSON", "comment", "blank", "total"
"c:\Users\webst\Documents\GitHub\wmtt4mc\.github\workflows\release.yml", "YAML", 0, 0, 0, 0, 46, 0, 1, 12, 59
"c:\Users\webst\Documents\GitHub\wmtt4mc\CHANGELOG.md", "Markdown", 41, 0, 0, 0, 0, 0, 0, 14, 55
"c:\Users\webst\Documents\GitHub\wmtt4mc\COMMERCIAL_LICENSE.md", "Markdown", 23, 0, 0, 0, 0, 0, 0, 8, 31
"c:\Users\webst\Documents\GitHub\wmtt4mc\CONTRIBUTING.md", "Markdown", 7, 0, 0, 0, 0, 0, 0, 4, 11
"c:\Users\webst\Documents\GitHub\wmtt4mc\LICENSE-NC.md", "Markdown", 51, 0, 0, 0, 0, 0, 0, 26, 77
"c:\Users\webst\Documents\GitHub\wmtt4mc\NOTICE.md", "Markdown", 21, 0, 0, 0, 0, 0, 0, 8, 29
"c:\Users\webst\Documents\GitHub\wmtt4mc\README.md", "Markdown", 29, 0, 0, 0, 0, 0, 0, 18, 47
"c:\Users\webst\Documents\GitHub\wmtt4mc\SECURITY.md", "Markdown", 6, 0, 0, 0, 0, 0, 0, 3, 9
"c:\Users\webst\Documents\GitHub\wmtt4mc\TRADEMARK_POLICY.md", "Markdown", 21, 0, 0, 0, 0, 0, 0, 9, 30
"c:\Users\webst\Documents\GitHub\wmtt4mc\development_check.py", "Python", 0, 39, 0, 0, 0, 0, 1, 8, 48
"c:\Users\webst\Documents\GitHub\wmtt4mc\development_report.json", "JSON", 0, 0, 0, 0, 0, 111, 0, 0, 111
"c:\Users\webst\Documents\GitHub\wmtt4mc\palette.json", "JSON", 0, 0, 0, 0, 0, 5675, 0, 0, 5675
"c:\Users\webst\Documents\GitHub\wmtt4mc\palette_map_wiki.json", "JSON", 0, 0, 0, 0, 0, 5683, 0, 0, 5683
"c:\Users\webst\Documents\GitHub\wmtt4mc\phase2_compare\baseline_af4cf4e_discovery.json", "JSON", 0, 0, 0, 0, 0, 68, 0, 1, 69
"c:\Users\webst\Documents\GitHub\wmtt4mc\phase2_compare\head_discovery.json", "JSON", 0, 0, 0, 0, 0, 68, 0, 1, 69
"c:\Users\webst\Documents\GitHub\wmtt4mc\phase2_compare\phase2_ab_report_2026-04-21.md", "Markdown", 29, 0, 0, 0, 0, 0, 0, 7, 36
"c:\Users\webst\Documents\GitHub\wmtt4mc\phase2_compare\preflight_smoke\preflight_20260421-133344\preflight_report.json", "JSON", 0, 0, 0, 0, 0, 124, 0, 0, 124
"c:\Users\webst\Documents\GitHub\wmtt4mc\requirements.txt", "pip requirements", 0, 0, 5, 0, 0, 0, 0, 1, 6
"c:\Users\webst\Documents\GitHub\wmtt4mc\run_basic_tests.py", "Python", 0, 83, 0, 0, 0, 0, 16, 23, 122
"c:\Users\webst\Documents\GitHub\wmtt4mc\simple_check.py", "Python", 0, 277, 0, 0, 0, 0, 29, 64, 370
"c:\Users\webst\Documents\GitHub\wmtt4mc\test_cache_discovery.py", "Python", 0, 198, 0, 0, 0, 0, 59, 73, 330
"c:\Users\webst\Documents\GitHub\wmtt4mc\test_syntax.py", "Python", 0, 17, 0, 0, 0, 0, 4, 4, 25
"c:\Users\webst\Documents\GitHub\wmtt4mc\test_wiki_palette_mapping.py", "Python", 0, 92, 0, 0, 0, 0, 0, 21, 113
"c:\Users\webst\Documents\GitHub\wmtt4mc\wishlist.md", "Markdown", 30, 0, 0, 0, 0, 0, 0, 13, 43
"c:\Users\webst\Documents\GitHub\wmtt4mc\wmtt4mc.code-workspace", "JSON with Comments", 0, 0, 0, 12, 0, 0, 0, 1, 13
"c:\Users\webst\Documents\GitHub\wmtt4mc\wmtt4mc.py", "Python", 0, 10037, 0, 0, 0, 0, 601, 1253, 11891
"c:\Users\webst\Documents\GitHub\wmtt4mc\wmtt4mc_cache.py", "Python", 0, 597, 0, 0, 0, 0, 156, 116, 869
"c:\Users\webst\Documents\GitHub\wmtt4mc\worker_fn_module.py", "Python", 0, 173, 0, 0, 0, 0, 3, 6, 182
"Total", "-", 258, 11513, 5, 12, 46, 11729, 870, 1694, 26127
